title,price,mileage,location,dealerName,link,thumbnailURL
2017 Kia Forte LX,$7,450,93,908 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/01df4ba2-e8d4-4bea-b2b1-2b7756be7d9a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/3KPFK4A75HE116630_01df4ba2-e8d4-4bea-b2b1-2b7756be7d9a_86eb6f60deccee383e3c09830f2bc51a_93908_edbb26c5d290176590882c4ab4b7e217.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 Nissan Altima 2.5 S,$5,995,108,282 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/c514a18f-d485-4d86-8b60-b1342f3bf540/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/1N4AL3AP5GN312360_c514a18f-d485-4d86-8b60-b1342f3bf540_86eb6f60deccee383e3c09830f2bc51a_108282_9b5f826a535ec3a2e51370cff2c50a3c.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Chrysler 200 S,$5,995,90,590 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/2b75f172-ac4c-4b21-9004-2caf55101983/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/1C3CCCBG0FN517704_2b75f172-ac4c-4b21-9004-2caf55101983_86eb6f60deccee383e3c09830f2bc51a_90590_f291af57c497eb11f0323e58a93ab059.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Toyota Yaris L,$7,450,127,697 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/98ac7637-8de5-4e32-9109-8fb3cbb7b469/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/VNKKTUD39FA030796_98ac7637-8de5-4e32-9109-8fb3cbb7b469_86eb6f60deccee383e3c09830f2bc51a_127697_c4deb7873fd7ef0cbabe58001e174339.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Chevrolet Cruze 2LT,$7,495,97,567 mi., Tempe, AZ,Tempe Motor Co.,https://www.cars.com/vehicledetail/e53a402d-b721-47cd-bd14-b841ce54f086/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/1G1PE5SB1F7115906_e53a402d-b721-47cd-bd14-b841ce54f086_afd0e27fcd1f97000bf92a804f2e0cfd_97567_419286451d4bf669992957f5c6346a9c.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2015 Scion tC,$7,950,106,204 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/83013e49-0baf-4a53-993a-c89c20c79074/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/JTKJF5C74FJ009840_83013e49-0baf-4a53-993a-c89c20c79074_86eb6f60deccee383e3c09830f2bc51a_106204_720683d2b780ddf93753a3901c450bde.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Jeep Compass Sport,$5,995,104,503 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/6effa4cb-8a79-4b92-9343-57b8b1a1e6ad/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/1C4NJCBA7ED708045_6effa4cb-8a79-4b92-9343-57b8b1a1e6ad_86eb6f60deccee383e3c09830f2bc51a_104503_7d1a7bf7c2462e5820bdac30fd59cc04.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Nissan Pathfinder Platinum,$7,988,171,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/5b8d1f52-9afa-4e3d-9b30-ebb85b4d6d11/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/5N1AR2MM5EC602302_5b8d1f52-9afa-4e3d-9b30-ebb85b4d6d11_172787f3f603a27d8895b6df4867539a_171000_f1bdc2b91377a3bb14d1ad0171499d0f.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Hyundai Elantra GLS,$7,450,84,506 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/a4516a0d-8d77-44c6-96cc-75133ca98b38/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/KMHDH4AE7DU736746_a4516a0d-8d77-44c6-96cc-75133ca98b38_86eb6f60deccee383e3c09830f2bc51a_84506_4260931e1d312112eef8374860bd0e11.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Nissan Altima 2.5 S,$7,491,104,319 mi., Mesa, AZ,Ideal Cars,https://www.cars.com/vehicledetail/a160d8c9-fb08-4d40-99fb-a8c845270ad1/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/1N4AL3AP7DN469173_a160d8c9-fb08-4d40-99fb-a8c845270ad1_371bebca3e3bed0295bda159ca36ef16_104319_70b29200d985e79cef8d3ed1db967a72.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Nissan Altima 2.5 SL,$7,988,118,880 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/8dfc6e90-d19d-4f94-bf4e-317ef5e20c5d/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://thumb.autotempest.com/cm/1N4AL3AP4DN559154_8dfc6e90-d19d-4f94-bf4e-317ef5e20c5d_172787f3f603a27d8895b6df4867539a_118880_8c30c5c48768f5c5c41707ebb3afa26c.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Hyundai Tucson Limited,$6,995,N/A, Mesa, AZ,Good Car Company,https://www.cars.com/vehicledetail/64b2a254-7d1c-4c6f-923d-1a98e2664596/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Nissan Sentra 2.0 SR,$7,491,69,821 mi., Mesa, AZ,Ideal Cars,https://www.cars.com/vehicledetail/37eb8bf9-8f3a-459c-a4a2-13af8c52fc93/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Lincoln MKZ,$7,988,107,000 mi., Glendale, AZ,New Deal Pre-Owned Auto,https://www.cars.com/vehicledetail/8684c6e6-e50f-46ac-bc60-64f6f2319ec6/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Toyota Camry SE,$7,450,145,152 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/bbac1d5b-c8b7-4e24-b925-9b3ed7b70cf8/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2010 Ford Focus SE,$4,750,126,516 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/39ad623a-25d8-4687-bcb3-ec97b362f564/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2010 Toyota Corolla LE,$7,995,171,061 mi., Mesa, AZ,Snb Motors,https://www.cars.com/vehicledetail/ab651e7f-affe-4812-a731-fcf362c98ecc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2009 Toyota Prius Touring,$5,450,184,734 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/97d9b325-6b07-4e4e-8761-69d97413a4b6/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2008 Toyota Yaris S,$7,750,57,585 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/5c0b322b-df4f-4ea3-8796-e512f4372d87/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2005 Honda Accord EX-L,$3,995,180,000 mi., Mesa, AZ,Karsten & Moore Auto Group,https://www.cars.com/vehicledetail/28386e06-b5b1-42c0-8321-5e856679e701/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2005 Chrysler PT Cruiser,$4,450,71,924 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/7ff6a2bc-900b-4bcb-8ab2-7ba9c7e52559/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2002 Ford Ranger XLT SuperCab,$6,995,99,372 mi., Mesa, AZ,Az Auto Gallery Of Mesa,https://www.cars.com/vehicledetail/1b12623e-ce2a-4c1b-8267-3fee3daffdc8/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2002 Toyota Tundra SR5,$7,995,167,145 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/36e9b19d-aa71-4b81-8ed4-203dc1022f9f/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
1999 Toyota 4Runner SR5,$6,995,189,764 mi., Mesa, AZ,Az Auto Gallery Of Mesa,https://www.cars.com/vehicledetail/8ef36fe6-8825-415c-aa08-45b67e3612c5/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
1993 Ford Taurus 4dr GL,$2,995,116,675 mi., Phoenix, AZ,J&m Imports,https://www.cars.com/vehicledetail/8e21877b-ac41-475e-aed1-ad6c108f7816/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 FIAT 500 Lounge,$4,995,143,969 mi., Mesa, AZ,Az Auto Gallery Of Mesa,https://www.cars.com/vehicledetail/d235b97d-a492-462c-b181-fcba9a97954a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2012 Kia Forte EX,$5,980,104,788 mi., Scottsdale, AZ,Mark Kia,https://www.cars.com/vehicledetail/bd5148fd-ef7a-4818-9e6a-98288765ea7b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 Ford Mustang,$5,491,140,326 mi., Mesa, AZ,Ideal Cars,https://www.cars.com/vehicledetail/63186e6e-3895-4d40-9f8c-315759853b41/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 Toyota Camry Solara SE V6,$6,491,134,786 mi., Mesa, AZ,Ideal Cars,https://www.cars.com/vehicledetail/d942b06f-b745-4c6d-a640-7c58d55775ca/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 MINI Cooper S,$7,433,82,911 mi., Phoenix, AZ,Audi North Scottsdale,https://www.cars.com/vehicledetail/d72413cf-fbeb-47a3-b98f-c519132b3e4b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
